node,triangle_count
14949,520
4429,446
10519,435
481,425
244,410
8939,342
7153,281
1241,275
82909,269
80341,255
1825,254
241,250
9255,247
5913,242
33,241
9332,239
3673,223
60312,220
37780,219
9253,218
9404,211
14439,206
33399,205
12615,205
17525,205
4935,198
5737,198
15925,195
70448,191
15934,190
36122,188
1964,187
9106,185
899,184
626,182
93,181
9131,180
3661,177
13304,176
16340,175
252,174
151,174
12771,173
44474,172
4841,170
8,166
4777,166
517,166
99595,165
518,164
7459,163
61341,161
5936,160
331,160
56317,159
6067,158
2501,157
78197,156
43543,156
2353,156
966,156
902,155
22073,155
26647,155
8925,154
30171,153
58184,150
83519,149
44475,147
44103,145
12862,145
7447,143
12608,143
19527,142
8359,142
45163,141
44473,141
18,141
53516,141
5809,141
3247,141
881,140
627,139
5915,139
60468,138
63772,138
31712,138
57841,137
4259,137
2563,136
94,135
1439,135
89926,134
48515,134
95,132
56817,131
8517,131
40651,129
84172,129
38072,128
346,128
83718,128
92860,128
5121,128
5120,128
10517,127
4936,127
56,127
5875,126
469,126
368,126
4249,125
55574,125
7205,125
12219,125
60310,125
7604,124
61197,124
52556,124
101369,123
59078,123
43659,122
7616,122
95149,122
9405,121
50504,121
976,121
13999,120
45359,120
12257,120
979,120
20899,120
99,119
60561,119
26512,119
40761,119
37292,119
32173,119
92706,118
95651,118
53,118
23146,118
163817,118
15215,117
176,117
91418,117
69483,117
6427,116
61665,116
46088,116
16454,116
58190,116
190761,115
66943,115
12188,115
9668,115
6065,114
102384,114
3155,114
251,114
30584,114
25244,113
12258,112
12863,112
191,112
9256,111
39500,111
9334,111
7303,111
785,111
67787,111
4431,110
16338,110
45126,110
26010,109
1673,109
77144,109
31037,109
482,109
41494,108
13217,107
447,107
9955,107
19526,107
6195,107
8551,107
85650,107
39265,106
85648,105
112987,105
104984,105
6488,105
20101,104
7979,104
1436,104
36116,104
34178,103
622,103
1676,103
17160,103
107300,103
54391,103
60311,103
10994,103
5090,102
50990,102
128793,101
56930,101
9379,101
68262,100
91636,100
84878,100
46245,99
77647,99
91419,99
33913,99
84343,99
77634,99
134413,99
45162,98
10709,98
21331,98
8653,98
13305,98
18175,98
9121,98
92862,98
6933,98
38273,98
55611,98
7142,98
82197,97
3338,97
60540,97
4291,97
17677,97
5966,96
14527,96
15944,96
81022,96
70278,96
35412,96
47320,96
61922,95
43297,95
27773,95
27247,94
29165,94
35,94
7555,94
6428,94
435,94
31708,94
47170,93
70415,93
14573,93
5765,93
20898,92
79321,92
40381,92
20729,92
52057,91
1930,91
53119,91
131915,91
48076,91
23972,91
420,91
51364,90
44090,90
10087,90
82910,90
40471,90
4257,90
87159,90
696,90
489,90
57022,90
10897,90
250,89
45381,89
56024,89
8057,89
66944,89
57637,89
43000,89
4931,89
95278,88
9119,88
147,88
7509,88
22375,88
23945,88
62550,88
37601,88
102492,88
337,88
65132,88
44471,88
50053,88
4573,88
367,87
19037,87
65334,87
58200,87
8645,87
9864,87
10080,87
131561,86
10745,86
71989,86
13711,86
9402,86
19161,86
9406,85
41646,85
44240,85
18928,85
3820,85
38927,85
33190,85
34,85
1824,85
62134,85
13932,84
3589,84
25633,84
85177,84
186184,84
13997,84
69017,84
65313,84
4843,83
51312,83
70079,83
17446,83
144970,83
72452,83
22858,83
120281,83
47187,82
58165,82
26074,82
8520,82
40593,81
79494,81
210,81
34990,81
124441,81
2555,81
76938,81
12618,81
16547,81
63409,81
3351,80
5423,80
39499,80
36144,80
31254,80
32804,80
32331,80
480,80
8557,80
848,79
105729,79
7032,79
13998,79
7986,79
52740,79
6436,79
3952,79
39714,79
1181,79
40129,79
5,79
2050,79
60539,79
54,78
84173,78
8459,78
1734,78
1389,78
10067,78
33541,78
46977,78
44078,78
44500,78
44758,78
28603,78
35413,78
2875,78
10846,78
8966,78
624,78
43544,78
4662,77
978,77
118943,77
114360,77
24041,77
35325,77
29439,77
7207,77
27558,77
9628,77
10419,77
12769,77
40533,77
28943,77
1498,77
105699,76
42120,76
6677,76
17327,76
105930,76
44277,76
7206,76
62848,76
63383,76
121447,76
699,76
62116,76
97069,76
37884,76
6175,76
22530,76
1466,76
2111,76
4820,75
10518,75
37842,75
64973,75
167464,75
36631,75
10018,75
38261,74
1499,74
21617,74
342,74
29352,74
96628,74
22607,74
12028,74
51293,74
105113,74
5815,74
60562,74
62090,74
12375,74
26927,73
59926,73
14996,73
63,73
11,73
52599,73
57842,73
21244,73
39588,72
24305,72
2161,72
14629,72
71426,72
35675,72
35825,72
134650,72
56025,72
5812,72
50278,72
54298,72
16285,72
1674,72
15062,72
76199,72
53660,72
3052,72
51836,72
50036,72
7534,72
31034,72
49122,71
889,71
59590,71
9390,71
190,71
1576,71
45125,71
4697,71
13462,71
14857,71
471,71
47171,71
47397,71
40582,71
21245,71
55573,71
120580,71
512,71
101019,71
59201,70
126646,70
17522,70
49074,70
167,70
15937,70
5735,70
56228,70
60309,70
63031,70
34697,70
92080,70
9669,70
23,70
67990,70
74025,70
84188,70
7543,69
62114,69
9605,69
38270,69
112439,69
69398,69
21649,69
109558,69
3690,69
48570,69
98079,69
58186,69
22548,69
78398,69
2053,69
38998,69
99041,69
26095,69
127682,69
30139,69
36623,69
594,69
7763,69
52938,69
97251,69
117781,68
56484,68
57211,68
17316,68
11774,68
6180,68
24077,68
22,68
90376,68
27650,68
819,68
65133,68
8060,68
279,68
56165,68
44100,68
12187,68
12014,68
31817,68
96254,68
12121,68
41271,67
12552,67
449,67
28585,67
84344,67
14827,67
42721,67
122764,67
23587,67
7023,67
57656,67
92063,67
8458,67
1044,67
172069,67
59742,67
2609,67
31036,67
34497,67
139949,67
4840,67
73916,67
112980,67
32760,66
101489,66
4842,66
6,66
64174,66
20178,66
71641,66
11039,66
6096,66
133206,66
9865,66
17538,66
80552,66
53526,66
61712,66
33500,66
35912,66
10065,66
40987,66
12026,66
28432,66
74360,66
21724,66
77393,66
5698,66
51031,66
80665,65
92863,65
569,65
302,65
164403,65
55305,65
577,65
13369,65
10310,65
123348,65
50804,65
78073,65
83521,65
118871,65
60750,65
89909,65
92861,65
21710,65
80216,65
70591,65
24862,65
104596,65
54678,65
101792,65
429,64
34500,64
102538,64
14156,64
162,64
66177,64
